sn,id,name,FinalCounty,location
376,7.14E+17, johndpizzaman ,, 
377,849411630, ChristinaErne ,, Bangor ME
378,619374514, KevinMillerPPH ,, Portland Maine
379,3220067984, mybodyworks2010 ,, 
380,4229151082, ReleasetheGSEs ,, 
381,84685398, Visitkarte ,, Switzerland & Germany 
382,860679312, JillVanTine1 ,, Southern Indiana
383,2507917171, Ahurastan ,, Ahurastan ??-? Atropia 
384,1589510713, ihazmoney ,, My bigass house 
385,550743689, joelyork48 ,, SARASOTA FLORIDA
386,19950547, PukinCat ,, Cincinnati Ohio
387,84685398, Visitkarte ,, Switzerland & Germany 
388,1061726592, MaryLagod ,, 
389,17148456, gcamp4 ,, Traveling USA
390,131050067, ElisabethCarey ,, Boston MA
391,437995483, watchenu2 ,, 
392,4662361218, Sterek_Obrosey ,, Stark Tower
393,584779088, rrcorbo ,, USA
394,4183085298, NoLongerADem ,, United States
395,19221513, realvenusinfurs ,, Hollywood/Seattle/West Coast
396,44377087, DomusUSA ,, Atlanta GA
397,107012365, gs777gs777 ,, New York USA
398,19717952, tinah2751 ,, Cincinnati
399,1934787661, NaphiSoc ,, Rockies MST
400,131050067, ElisabethCarey ,, Boston MA
401,513873998, BIGSHOW401 ,, Monkey Bottom
402,3193699938, TripleJ_78 ,, Dallas TX
403,2347050292, MaxineAsher ,, 
404,4459753935, JohnPena03 ,, United States
405,4086580156, uliw315 ,, 
406,1380483060, BeckyOmz ,, 
407,254112509, Pollyfrogy ,, 
408,114711796, lilium479 ,, 
409,7.09E+17, DianeRainie1 ,, Florida USA
410,3170692550, KermitTheKush ,, 
411,211369803, tekarceben ,, Palm Coast Florida
412,44161855, preciousRowe ,, london
413,44342873, tomkawczynski ,, Lisbon NH
414,1895204172, kimbers671 ,, North Idaho
415,1076547972, TheRealBox12 ,, 
416,4214995979, purplemeatballs ,, St Petersburg FL
417,3170692550, KermitTheKush ,, 
418,154228382, glassyelegance ,, Florissant Co
419,47274156, firsttwin55 ,, Farmington NM
420,374051092, heath_karen ,, Oklahoma City OK
421,2809704038, douggoudz ,, 
422,7.11E+17, bing_lbing ,, Houston TX
423,97278199, maddiepoooh ,, joshleen trash
424,4905645177, grey_ghost47 ,, 
425,1277481013, CharCharbag ,, ft lauderdale florida
426,4098237466, natmc33076 ,, 
427,4903822932, Marc_Smash ,, San Francisco CA
428,747969990, SusanMoseley4 ,, 
429,154228382, glassyelegance ,, Florissant Co
430,7.20E+17, TrumpLoyalist ,, Florida USA
431,3231865460, susieroussel11 ,, 
432,2706645518, shirleyjean1776 ,, 1896 farm Appalachia NW PA
433,165358919, satheeshrk ,, 
434,43496095, joydcarter ,, 
435,433703539, hrqualls ,, North Florida
436,4108264334, rockinglittlero ,, 
437,7.15E+17, partyofthepeopl ,, 
438,1925001980, MMLynch01 ,, Finger Lakes Region  NY
439,2893768217, CajunKangaroo ,, (R) Caution-Offensive language
440,20627893, CallahanMcD ,, prints:
441,4827439747, marciapski3 ,, Michigan USA
442,3391185461, Emmita17E ,, 
443,790635542, davysgripur ,, 
444,3950708835, HollyW81333596 ,, Florida USA
445,168238759, winkiechance ,, setauket ny
446,4388881763, pmswolfy ,, Salem VA
447,909560372, BarbsAK ,, 
448,90620291, bobd42 ,, Knoxville TN
449,2903166449, MrEdTrain ,, Quincy MA 
450,874919084, hughes_wanda ,, Atlanta/ Mcdonough Ga 
451,2178310401, concerningtimes ,, 
452,20730783, Grammy8 ,, Birmingham Al
453,715044396, Rockprincess818 ,, Los Angeles CA
454,2903166449, MrEdTrain ,, Quincy MA 
455,2736331149, Oteachjohn ,, Where I am now!
456,3909983892, HartmannVet79 ,, Texas
457,18259256, Boris_Badenoff ,, 
458,49465713, ColliemomBeks ,, Texas USA
459,2553218186, missiongirl4 ,, 
460,7.06E+17, debbie_groves1 ,, 
461,3320545346, PennyHicks13 ,, Nevada USA
462,383064409, CoachKJunior ,, Los Angeles CA
463,479198786, LichenCraig ,, Colorado
464,19221513, realvenusinfurs ,, Hollywood/Seattle/West Coast
465,2912564031, Gyp5ySoul ,, Colorado
466,144540518, FrankieTease ,, Long Beach CA Las Vegas NV
467,19587302, bluehawkenator ,, Delaware USA
468,273020416, Tramayle ,, 
469,4011800885, wrs1260 ,, 
470,2278024478, annholman194 ,, South Dakota USA
471,2812269630, Hydraman40Black ,, 
472,20106268, judithfuredi ,, Manhattan NY
473,121921260, EveningStarNM ,, Las Cruces NM
474,554443824, C3Gossett ,, 
475,1684704224, YokedToYeshua ,, USA
476,1109661295, BunnysDaughter ,, 
477,204339253, SashGirlVegas ,, Las Vegas
478,443858973, Leslie_H20 ,, The Old North State
479,808855729, RealMarkCole ,, 
480,115941509, alexvtunzelmann ,, London
481,4869448667, EagleEyeFlyer ,, Virginia USA
482,2272367377, OLRDJ ,, 
483,15313592, ldyhawk549 ,, AnamCaraZen Buddhist Monastary
484,75643667, thijsromer ,, Amsterdam
485,2297125818, dwulke ,, Vince Lombardi
486,4040155154, B_Green159 ,, United States
487,416772537, Gstoneman68 ,, 
488,4856364013, Kellydanes1 ,, Phoenix AZ
489,108385758, GeorgeMee ,, Oklahoma City OK
490,18906436, FourthOctavo ,, San Antonio TX
491,283324844, ismithKDKA ,, Pittsburgh
492,50703416, Indiana_Patriot ,, Indiana
493,586841695, Horganism ,, Stevens Institute
494,3124412854, DanielIronhead ,, 
495,136166272, whatzzhername ,, OCSoCal
496,795181796, RayBurkhart1 ,, Lewisville North Carolina
497,4747746462, ralph_lyn ,, 
498,2664495768, Colin_R_Gale ,, Basement Parliament House 
499,1339060338, rninfl ,, 
500,348667672, USAHellfire ,, 
501,601065065, ptrckstone ,, 
502,188189430, ckelly202 ,, 
503,398742951, gaylenanny ,, Athens GA
504,7.14E+17, johndpizzaman ,, 
505,4520330172, petrotaz50 ,, 
506,3310011989, TrumpMA ,, Massachusetts USA
507,111166826, dreamcatcher5 ,, Montana
508,145856687, APOYODECHILE ,, UNITED STATES OF AMERICA
509,534117566, Fanoffreedoms ,, ky
510,4851681461, MMaria03146111 ,, New York NY
511,53710141, volleymac40 ,, 
512,55829777, flatwalk ,, 
513,2272367377, OLRDJ ,, 
514,2477028826, krom1781 ,, USA
515,553856375, WVartan ,, USA
516,2712850585, AngelicMark ,, San Diego CA
517,1223685223, MartinConnlynnm ,, 
518,24519597, jhrusher ,, 
519,3310800271, robertew2945 ,, Las Vegas NV
520,28891575, vbislands ,, Los angeles
521,60448759, DoDFiredawg78 ,, Richmond VA
522,4833875471, chad_appel ,, Texas USA
523,779478162, Josue_Berduo ,, 
524,3284358254, arian0027 ,, United States
525,3950708835, HollyW81333596 ,, Florida USA
526,28273116, joyreaper ,, 
527,551348482, AdiDajani ,, Houston Texas
528,1587237776, ThunderBlazing ,, Denver CO
529,98047247, hanin03 ,, Dubai
530,198212642, youhaveadriiixo ,, New Jersey USA
531,316130208, JoeSmithSDK ,, 
532,559720879, neo99934 ,, America
533,2651813438, TalkCritic ,, East of Eden
534,6.99E+17, HenryEvans4 ,, 
535,31125443, HappyGrand7 ,, USA
536,29581958, PeterCIAmCoptic ,, Wisconsin USA
537,3000619402, disgamechanger ,, The Big Apple
538,3302882995, kakemper ,, Texas USA
539,2326218852, tuurrnnt ,, sküle
540,141345790, ManDimeBishMade ,, 
541,20009204, ArlenWms ,, Principles of Christian Love
542,526251283, JerreMorganti4 ,, New Jersey USA
543,223719518, Redeemed1952 ,,   ?COASTAL PLAINS NC??
544,33536197, MrPaulGallagher ,, Glasgow Scotland
545,531620458, S1776frdm ,, West
546,77499983, gahome1 ,, Atlanta GA
547,1308106963, kkatblonde ,, 
548,16474781, sundersays ,, London
549,30863106, FAccordions ,, Virginia
550,184628546, ngbehht ,, Boston
551,4499094387, pappas_73 ,, 
552,4052199193, vickyunderhill ,, Fort Worth Tx.
553,14066928, Xantl ,, 34° 3' 8 N; 118° 14' 34 W
554,2894256669, JGlltti ,, 
555,583094488, misterjdc ,, Center Point Iowa. USA
556,2887593005, Liee4Trump ,, Tampa FL
557,1270365588, no_Soy_De_Tii ,, TampaFlorida 
558,388017681, cobaltcruiser ,, Oklahoma USA
559,218348332, billie_begley ,, Tennessee
560,331136295, GlobalProgresMB ,, From Stamford Bridge to World
561,2894256669, JGlltti ,, 
562,212049876, dcnite56 ,, 
563,1684663734, jaditmars_john ,, 
564,31045732, writeonthemark6 ,, New York
565,528015584, mxander458 ,, Arizona USA
566,823149192, glozee1 ,, 
567,426939257, feedthedrummer ,, Darlington
568,458106241, Jerribenton ,, Florida
569,387707281, mothergooseAZ ,, ARIZONA USA
570,430089879, snwwhit23 ,, Alabama
571,498510604, KAS_Tha_III ,, San Antonio Texas
572,861193644, colletteryan56 ,, Richmond MI
573,42751681, FrankieRusso1 ,, BROOKLYN USA
574,3296504462, PattonDivision ,, 
575,3951302129, jamss3468 ,, South Carolina USA
576,218041902, 47PatriotFI ,, USA
577,358892210, jend0315 ,, South Dakota
578,59924442, MsRobiinson ,, Miami FL
579,49561002, Cate66 ,, 
580,1426967479, HenryOray ,, Detroit MI
581,928660866, kbseashell3 ,, 
582,7.15E+17, politicalpatty1 ,, Louisiana USA
583,4854250851, Dad_Trump2 ,, 
584,4576968748, JamesCMiller7 ,, United States
585,7.15E+17, politicalpatty1 ,, Louisiana USA
586,7.15E+17, Ike19777 ,, 
587,582352257, Ellie_Urban ,, 
588,3025313319, A1Carl ,, 
589,3291902538, LeeBrya88882595 ,, 
590,533444481, MPrestrepo2334 ,, 
591,7.05E+17, MccurleyMaureen ,, 
592,2431107457, LiveNewsyTweets ,, 
594,15521774, gracels ,, San Francisco
595,26538104, CamBam8 ,, Fort Lauderdale FL
596,3599164993, danshay7 ,, America
597,218114129, Samagdma ,, St. Louis MO
598,4460500221, HouseOfSavoy7 ,, Luxembourg City Luxembourg   
599,3925208006, Holly10410 ,, 
600,4447613913, SusanGr16576445 ,, Georgia USA
601,2282563584, gertonshref ,, Louisiana
602,2834647215, 8bitsofsound ,, Tourian Zebes
603,4460500221, HouseOfSavoy7 ,, Luxembourg City Luxembourg   
604,930575720, CelesteHerget ,, 
605,49561002, Cate66 ,, 
606,14709531, DSarna ,, Northern NJ USA
607,1102330429, deebull ,, United States
608,50041304, chrisncal ,, CA
609,278255758, jerhyr60 ,, Connecticut USA
610,129281932, andrewjgregor ,, CA. USA
611,7.07E+17, SammyCl23155188 ,, Tennessee USA
612,838554698, p_junestorm78 ,, 
613,216469250, dglend ,, Texas USA
614,26947929, akawhit1 ,, with JESUS by the sea
615,3405607821, Markallenjobe1 ,, Columbia md
616,4865796322, Richard01702798 ,, Indiana/Virginia
617,4006650737, opcar2852 ,, 
618,140638175, toby1995 ,, 
619,3167437949, mikeo159 ,, 
620,3124986791, BarbMuenchen ,, Trump twitter campaign Ohio
621,7.05E+17, bobcathutch ,, 
622,7.15E+17, politicalpatty1 ,, Louisiana USA
623,109396382, rachelCgardiner ,, cola 
624,2802955694, 6inthebluff ,, On The Bluff
625,4520330172, petrotaz50 ,, 
626,3120820724, KarenTr58210895 ,, Shenandoah TX
627,72841205, JaniceRaffa ,, Beaumont TX
628,145856687, APOYODECHILE ,, UNITED STATES OF AMERICA
629,4098237466, natmc33076 ,, 
630,395460119, edwards_russ ,, Kennewick WA
631,4865796322, Richard01702798 ,, Indiana/Virginia
