SN,ID,NAME,FinalCounty,Location1,Location2,,,,,,
195,2453605819, cherry_bethea , California, California,,,,,,,
196,7.1347E+17, AlbionsSeed , , ,,,,,,,
197,4060522877, 1911G_fan , A red state thankfully, A red state, thankfully,,,,,,
198,3883733953, brujeff77 , , ,,,,,,,
199,142015635, Larryputt , VA/NC/SC, VA/NC/SC,,,,,,,
200,3358652128, arknightdale , Charlotte NC, Charlotte, NC,,,,,,
201,49856621, Kelagon , , ,,,,,,,
202,65679563, valdigiacinto , East Hanover NJ, East Hanover, NJ,,,,,,
203,3404728337, Blondeadroit , , ,,,,,,,
204,122819549, JACK__SHAW , CHICAGO/OKC, CHICAGO/OKC,,,,,,,
205,2286014678, ggbootsrock , , ,,,,,,,
206,3610934895, Campaign_Watch , , ,,,,,,,
207,14372784, Mary4TRUMP , , ,,,,,,,
208,489423943, MikeCheatham1 , , ,,,,,,,
209,4926495803, wildflower6422 , , ,,,,,,,
210,88035633, meganmurp , Washington DC, Washington, DC,,,,,,
211,4074814018, sunflowerwsnc , North Carolina USA, North Carolina, USA,,,,,,
212,3824278154, cw6ft2ntx , Great State of Texas, Great State of Texas,,,,,,,
213,859142317, TraciLEdwards , , ,,,,,,,
214,1732405544, Hornet238 , FEMA REGION V USA, FEMA REGION V, USA,,,,,,
215,3311276608, realtysteve , , ,,,,,,,
216,927071516, Defund_DC , Exceptional USA, Exceptional USA,,,,,,,
217,4863597051, BiteMeTrump , , ,,,,,,,
218,4901489212, KimHarm0061 , Florida USA, Florida, USA,,,,,,
219,14338727, ProphetPX , Leavenworth Kansas USA, Leavenworth, Kansas, USA,,,,,
220,4172031640, stridura , , ,,,,,,,
221,2416678106, thenatealdridge , Oklahoma, Oklahoma,,,,,,,
222,247147078, edwood3 , , ,,,,,,,
223,226344061, karpmj , New York NY, New York, NY,,,,,,
224,532690100, JWGOP , Austin Texas, Austin, Texas,,,,,,
225,478148698, truthlovin , Seattle Washington, Seattle, Washington,,,,,,
226,15734625, rebob7 , , ,,,,,,,
227,180058006, PCalith , Boston MA, Boston, MA,,,,,,
228,15464697, JuddLegum , Washington DC, Washington, DC,,,,,,
229,2994784367, NasarzewskiP , Ypsilanti Michigan, Ypsilanti, Michigan,,,,,,
230,2288643823, rolltide41306 , Red LevelAl, Red Level,Al,,,,,,
231,4912725674, eye2winner , Colorado City AZ, Colorado City, AZ,,,,,,
232,2651919698, akaiu1978 , , ,,,,,,,
233,811274366, noah_cline , New Hampshire USA, New Hampshire, USA,,,,,,
234,1576552782, FirstTeamSol , , ,,,,,,,
235,37975764, clt92 , Alameda CA, Alameda, CA,,,,,,
236,7.07274E+17, CBScheel , California USA, California, USA,,,,,,
237,7.05952E+17, RJoann_simmons , , ,,,,,,,
238,4866494759, BuybyFelicia , SOUTH TEXAS, SOUTH TEXAS,,,,,,,
239,179180471, BlackDogRanch1 , USA, USA,,,,,,,
240,1419210638, DixonWAldridge , Cordova TN -- SC Native, Cordova, TN -- SC Native,,,,,,
241,4234882707, TerreTbehlog , Georgia USA, Georgia, USA,,,,,,
242,15700545, imfugus , Wisconsin, Wisconsin,,,,,,,
243,3434675854, springsunrize , , ,,,,,,,
244,1491573812, ScottRipem99 , New Jersey, New Jersey,,,,,,,
245,4362459267, Chatman7Donna , Charleston WV, Charleston WV,,,,,,,
246,8859092, PressHerald , Portland Maine, Portland, Maine,,,,,,
247,7.04394E+17, lifestrials2 , Salem OR, Salem, OR,,,,,,
248,23228167, ibangel , , ,,,,,,,
249,2696042526, katscags62 , , ,,,,,,,
250,4465538597, JENYHOD , Ozark AL, Ozark, AL,,,,,,
251,18957055, FilmDoctor , Southern California, Southern California,,,,,,,
252,2784100399, LMM1952 , Ft. Myers area, Ft. Myers area,,,,,,,
253,381985881, nanjmay6478 , , ,,,,,,,
254,71545482, masspolitica , Boston, Boston,,,,,,,
255,129949447, marty713 , WhereEverIWant2B, WhereEverIWant2B,,,,,,,
256,451055997, bsherrie64 , Pennsylvania USA, Pennsylvania, USA,,,,,,
257,19849347, VicCampbell , , ,,,,,,,
258,547069280, GSCAtlanta , Atlanta GA / Fort Lauderdale, Atlanta, GA / Fort Lauderdale,,,,,,
259,7.05774E+17, williamevans101 , , ,,,,,,,
260,15700545, imfugus , Wisconsin, Wisconsin,,,,,,,
261,42741327, ukloner , , ,,,,,,,
262,58608119, GirlPainting , Houston TX USA, Houston, TX, USA,,,,,
263,28248148, 1crazystlgal , Missouri, Missouri,,,,,,,
264,38896608, Broker617 , Florida USA, Florida, USA,,,,,,
265,4855044657, ZiffyKat , , ,,,,,,,
266,1618641848, ChristieC733 , Texas USA, Texas, USA,,,,,,
267,884311340, bfrasier1951 , , ,,,,,,,
268,34173875, lynette5151 , Decatur Illinois, Decatur, Illinois,,,,,,
269,22217443, cat_1012000 , Midwest (NEMOKS), Midwest (NE,MO,KS),,,,,
270,7.10907E+17, skyjones55928 , , ,,,,,,,
271,40691581, rvnhoose , TN, TN,,,,,,,
272,2329260715, bigplaincircle , , ,,,,,,,
273,14463995, andsat , Seattle, Seattle,,,,,,,
274,1905590958, stevej132 , south carolina, south carolina,,,,,,,
275,117450444, ThomboyD , SoCal, SoCal,,,,,,,
276,374284455, Debramax , , ,,,,,,,
277,2936207691, meowupatree , , ,,,,,,,
278,7.1138E+17, UghToHillary , , ,,,,,,,
279,553880367, MMcLeieer , PhoenixArizona, Phoenix,Arizona,,,,,,
280,622800082, ladyjadeyjazz , Vancouver British Columbia, Vancouver, British Columbia,,,,,,
281,2463296298, TomTspevey , , ,,,,,,,
282,120025039, DestinyandBruce , , ,,,,,,,
283,88861017, YackyDoodleDnDy , America Central(Costa Rica), America Central(Costa Rica),,,,,,,
284,2890980888, eads_john , , ,,,,,,,
285,619374514, KevinMillerPPH , Portland Maine, Portland, Maine,,,,,,
286,2209106522, ImperatorTruth , Boston MA, Boston, MA,,,,,,
287,135857034, D_Raval , LondonUK, London,UK,,,,,,
288,586308135, CommonSenseGuy2 , Central Iowa USA, Central Iowa, USA,,,,,,
289,1671674240, landj86DeeDee , Oregon USA, Oregon, USA,,,,,,
290,806010806, Faye0226 , Louisiana, Louisiana,,,,,,,
291,20328741, Adam4004 , Missouri, Missouri,,,,,,,
292,67503749, CarolMBoothe , , ,,,,,,,
293,4516746447, alpstwt , , ,,,,,,,
294,1225818590, janrask , , ,,,,,,,
295,231156134, SlidinDelta , Ottawa Canada; Austin Texas, Ottawa, Canada; Austin, Texas,,,,,
296,182606087, louis3288 , , ,,,,,,,
297,4291655293, vachilly64 , , ,,,,,,,
298,71807953, USAHipster , Texas, Texas,,,,,,,
299,1051455504, arthur_ogle , Tulsa OK but proud Tennessean, Tulsa OK but proud Tennessean,,,,,,,
300,2993449593, Portosj81J , Scottsdale AZ, Scottsdale, AZ,,,,,,
301,526346146, TCuccio , , ,,,,,,,
302,73761932, Jack_Ham79 , Oklahoma, Oklahoma,,,,,,,
303,4346882714, robertinccnv1 , Carson City NV, Carson City, NV,,,,,,
304,1015828650, joeygrodesky48 , , ,,,,,,,
305,3458917277, KenYounos , , ,,,,,,,
306,287505023, justonepatriot , , ,,,,,,,
307,293577506, julio_rodz , Spain/Italy, Spain/Italy,,,,,,,
308,7.17195E+17, SherrieJanovsky , Joliet IL, Joliet, IL,,,,,,
309,432799442, lolhayd , , ,,,,,,,
310,159097782, RichandGod , Twitter church New Jerusalem , Twitter church ,New Jerusalem ,,,,,,
311,7.12707E+17, htpol1 , S.C., S.C.,,,,,,,
312,7.03028E+17, jennifermwalls , United States, United States,,,,,,,
313,3089894385, bbhall0906 , Palm Coast FL, Palm Coast, FL,,,,,,
314,7.0196E+17, bigbare44 , , ,,,,,,,
315,3311840432, Goldthinkers , , ,,,,,,,
316,7.18818E+17, dvfreddiem , , ,,,,,,,
317,4054895653, KarMaeArn , , ,,,,,,,
318,1375084074, 38_milo , New England , New England ,,,,,,,
319,563301375, FelineBengal , Morristown NJ, Morristown, NJ,,,,,,
320,212543625, UncleRodge , High Point NC, High Point, NC,,,,,,
321,2564111894, ShiversShana , TX, TX,,,,,,,
322,223896073, LauraWilsonGal , Southold NY, Southold, NY,,,,,,
323,3081927276, TxGal_InCali , Southern California, Southern California,,,,,,,
324,57603422, Sanjay25_ , New York USA, New York, USA,,,,,,
325,3298172888, seasicksiren , , ,,,,,,,
326,7.05815E+17, RebeccaFaussett , BUILD THAT WALL GOD BLESS YOU, BUILD THAT WALL, GOD BLESS YOU,,,,,,
327,3378101476, MercyL0V3 , , ,,,,,,,
328,18108462, timkowal , Huntington Beach CA, Huntington Beach, CA,,,,,,
329,3311840432, Goldthinkers , , ,,,,,,,
330,381883950, victorbreaux , Louisiana, Louisiana,,,,,,,
331,3247965726, denlusk13 , , ,,,,,,,
332,1539063318, JudyYount , , ,,,,,,,
333,3310158301, SOS_1313 , , ,,,,,,,
334,1546678166, SSNjl , St George Ut, St George Ut,,,,,,,
335,4822536123, Trump4Pres0225 , Southeast USA, Southeast USA,,,,,,,
336,4798701630, PaulaPaulacamp , , ,,,,,,,
337,3968544013, karen_lamoure , California, California,,,,,,,
338,846953653, donnasgame , Tennessee USA, Tennessee, USA,,,,,,
339,240814961, catsdailytruth1 , GOPHaveNoRights2MYPrivateParts, GOPHaveNoRights2MYPrivateParts,,,,,,,
340,3131156139, granisnark12 , Snarkville, Snarkville,,,,,,,
341,3927572774, hale4jesus , , ,,,,,,,
342,3408529580, mflew2 , Texas USA, Texas, USA,,,,,,
343,3353307131, ladybella1111 , Pennsylvania USA, Pennsylvania, USA,,,,,,
344,790635542, davysgripur , , ,,,,,,,
345,907346136, Jentlegin , A nice cozy Pro-Trump corner :), A nice cozy Pro-Trump corner :),,,,,,,
346,927071516, Defund_DC , Exceptional USA, Exceptional USA,,,,,,,
347,129235890, Lrihendry , , ,,,,,,,
348,32861990, rth1065 , , ,,,,,,,
349,1449729692, Tcwater7292Joan , Florida, Florida,,,,,,,
350,2651813438, TalkCritic , East of Eden, East of Eden,,,,,,,
351,4503215594, MegFord7 , , ,,,,,,,
352,3282973915, MedianPolitics , , ,,,,,,,
353,354914789, cfgasenna , , ,,,,,,,
354,570969690, orotribe , Rancho Cucamonga CA, Rancho Cucamonga CA,,,,,,,
355,197872494, OneTonTurtle , Sacramento California, Sacramento, California,,,,,,
356,917626896, histochic71 , Ohio USA, Ohio, USA,,,,,,
357,4827698474, wendyfarrier1 , Globe AZ, Globe, AZ,,,,,,
358,588497903, percydavid221 , , ,,,,,,,
359,2322980888, handlebar1459 , USA, USA,,,,,,,
360,145987317, DaddyLou13 , texasruburban Dallas, texas,ruburban Dallas,,,,,,
361,384005220, woitekj , , ,,,,,,,
362,1282414117, que37 , San Diego CA, San Diego, CA,,,,,,
363,7.12772E+17, pegcamp78 , Land of the Giants., Land of the Giants.,,,,,,,
364,7.02251E+17, Bakehouse2016 , , ,,,,,,,
365,1282414117, que37 , San Diego CA, San Diego, CA,,,,,,
366,91237627, rlockrocks , Raleigh NC, Raleigh, NC,,,,,,
367,296985227, Wackywoman50 , Somewhere in Florida, Somewhere in Florida,,,,,,,
368,339194362, royparrish ,  south,  south,,,,,,,
369,4656972496, AUkeibro , Kentucky USA, Kentucky, USA,,,,,,
370,16503982, Bolling , worldwide, worldwide,,,,,,,
371,115941509, alexvtunzelmann , London, London,,,,,,,
372,1049454625, BrennaKellyNews , San Diego CA - Bangor ME, San Diego, CA - Bangor, ME,,,,,
373,60767749, Rocky1542 , North Dakota, North Dakota,,,,,,,
374,3675474973, olyspeakvictory , AZ, AZ,,,,,,,
375,4443696733, Mercedes2077112 , Pennsylvania USA, Pennsylvania, USA,,,,,,
376,7.14146E+17, johndpizzaman , , ,,,,,,,
377,849411630, ChristinaErne , Bangor ME, Bangor, ME,,,,,,
378,619374514, KevinMillerPPH , Portland Maine, Portland, Maine,,,,,,
379,3220067984, mybodyworks2010 , , ,,,,,,,
380,4229151082, ReleasetheGSEs , , ,,,,,,,
381,84685398, Visitkarte , Switzerland & Germany , Switzerland & Germany ,,,,,,,
382,860679312, JillVanTine1 , Southern Indiana, Southern Indiana,,,,,,,
383,2507917171, Ahurastan , Ahurastan ??-? Atropia , Ahurastan, ??-? Atropia ,,,,,,
384,1589510713, ihazmoney , My bigass house , My bigass house ,,,,,,,
385,550743689, joelyork48 , SARASOTA FLORIDA, SARASOTA FLORIDA,,,,,,,
386,19950547, PukinCat , Cincinnati Ohio, Cincinnati, Ohio,,,,,,
387,84685398, Visitkarte , Switzerland & Germany , Switzerland & Germany ,,,,,,,
388,1061726592, MaryLagod , , ,,,,,,,
389,17148456, gcamp4 , Traveling USA, Traveling USA,,,,,,,
390,131050067, ElisabethCarey , Boston MA, Boston, MA,,,,,,
391,437995483, watchenu2 , , ,,,,,,,
392,4662361218, Sterek_Obrosey , Stark Tower, Stark Tower,,,,,,,
393,584779088, rrcorbo , USA, USA,,,,,,,
394,4183085298, NoLongerADem , United States, United States,,,,,,,
395,19221513, realvenusinfurs , Hollywood/Seattle/West Coast, Hollywood/Seattle/West Coast,,,,,,,
396,44377087, DomusUSA , Atlanta GA, Atlanta, GA,,,,,,
397,107012365, gs777gs777 , New York USA, New York, USA,,,,,,
398,19717952, tinah2751 , Cincinnati, Cincinnati,,,,,,,
399,1934787661, NaphiSoc , Rockies MST, Rockies MST,,,,,,,
400,131050067, ElisabethCarey , Boston MA, Boston, MA,,,,,,
401,513873998, BIGSHOW401 , Monkey Bottom, Monkey Bottom,,,,,,,
402,3193699938, TripleJ_78 , Dallas TX, Dallas, TX,,,,,,
403,2347050292, MaxineAsher , , ,,,,,,,
404,4459753935, JohnPena03 , United States, United States,,,,,,,
405,4086580156, uliw315 , , ,,,,,,,
406,1380483060, BeckyOmz , , ,,,,,,,
407,254112509, Pollyfrogy , , ,,,,,,,
408,114711796, lilium479 , , ,,,,,,,
409,7.08697E+17, DianeRainie1 , Florida USA, Florida, USA,,,,,,
410,3170692550, KermitTheKush , , ,,,,,,,
411,211369803, tekarceben , Palm Coast Florida, Palm Coast, Florida,,,,,,
412,44161855, preciousRowe , london, london,,,,,,,
413,44342873, tomkawczynski , Lisbon NH, Lisbon, NH,,,,,,
414,1895204172, kimbers671 , North Idaho, North Idaho,,,,,,,
415,1076547972, TheRealBox12 , , ,,,,,,,
416,4214995979, purplemeatballs , St Petersburg FL, St Petersburg, FL,,,,,,
417,3170692550, KermitTheKush , , ,,,,,,,
418,154228382, glassyelegance , Florissant Co, Florissant, Co,,,,,,
419,47274156, firsttwin55 , Farmington NM, Farmington, NM,,,,,,
420,374051092, heath_karen , Oklahoma City OK, Oklahoma City, OK,,,,,,
421,2809704038, douggoudz , , ,,,,,,,
422,7.11439E+17, bing_lbing , Houston TX, Houston, TX,,,,,,
423,97278199, maddiepoooh , joshleen trash, joshleen trash,,,,,,,
424,4905645177, grey_ghost47 , , ,,,,,,,
425,1277481013, CharCharbag , ft lauderdale florida, ft lauderdale, florida,,,,,,
426,4098237466, natmc33076 , , ,,,,,,,
427,4903822932, Marc_Smash , San Francisco CA, San Francisco, CA,,,,,,
428,747969990, SusanMoseley4 , , ,,,,,,,
429,154228382, glassyelegance , Florissant Co, Florissant, Co,,,,,,
